name,formula,smiles,molar_mass,density_gcc,heat_formation_kjmol,oxygen_balance,vod_ms,pcj_gpa,impact_sensitivity_j,friction_sensitivity_n,source,notes
TNT,C7H5N3O6,c1cc(c(cc1[N+](=O)[O-])[N+](=O)[O-])C[N+](=O)[O-],227.13,1.654,67.4,-73.96,6900,19.0,15.0,353,"Klapotke, LLNL","Standard military explosive"
RDX,C3H6N6O6,[O-][N+](=O)N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,222.12,1.82,92.3,-21.61,8750,34.0,7.5,120,"Klapotke, LLNL","High performance explosive"
HMX,C4H8N8O8,[O-][N+](=O)N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,296.16,1.91,75.0,-21.61,9100,39.0,7.0,112,"Klapotke, LLNL","Ultra high performance"
PETN,C5H8N4O12,C(C(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-],316.14,1.77,-538.9,-10.13,8350,33.0,3.0,60,"Klapotke, LLNL","Primary explosive"
Tetryl,C7H5N5O8,c1c(cc(c(c1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])N([N+](=O)[O-])[N+](=O)[O-],287.14,1.73,12.1,-47.35,7570,25.0,0.4,0.1,"Klapotke","Secondary explosive"
Picric Acid,C6H3N3O7,c1c(cc(c(c1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])O,229.10,1.763,-217.1,-45.41,7350,24.0,5.0,7,"Klapotke","Historical explosive"
CL-20,C6H6N12O12,[O-][N+](=O)N1CN([N+](=O)[O-])C2N([N+](=O)[O-])CN([N+](=O)[O-])C3N([N+](=O)[O-])CN([N+](=O)[O-])C1N23,438.19,2.044,414.6,-10.95,9455,42.0,4.2,48,"Keshavarz, LLNL","Ultra high performance"
TATB,C6H6N6O6,c1(c(c(c(c(c1[N+](=O)[O-])N)[N+](=O)[O-])N)[N+](=O)[O-])N,258.15,1.938,221.3,-55.80,8114,31.0,50.0,320,"Keshavarz","Insensitive high explosive"
FOX-7,C2H4N4O4,NC(=O)C(=N[N+](=O)[O-])N[N+](=O)[O-],148.08,1.885,46.4,-43.24,8870,34.5,4.5,353,"Keshavarz","Green explosive"
DADNE,C2H6N6O5,NC(=O)NNC(=O)N[N+](=O)[O-],194.11,1.830,105.4,-49.48,8200,28.0,8.5,250,"Estimated","Insensitive explosive"
NTO,C3H2N4O3,c1c([nH]c(c(=O)[nH]1)[N+](=O)[O-])[N+](=O)[O-],158.07,1.930,108.3,-50.63,8120,30.2,15.0,358,"Keshavarz","Insensitive explosive"
TKX-50,C2H8N8O2,NC(=N[N+](=O)[O-])NN=C(N)N[N+](=O)[O-],192.13,1.877,385.8,-41.66,9698,41.2,7.8,180,"Keshavarz","High performance"
ETN,C5H11N3O9,CC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],241.16,1.540,-467.0,-16.60,7770,26.5,0.3,0.05,"Estimated","Improvised explosive"
EGDN,C2H4N2O6,C(CO[N+](=O)[O-])O[N+](=O)[O-],152.06,1.485,-335.1,-10.53,7700,25.8,0.5,0.1,"Klapotke","Liquid explosive"
HMTD,C6H12N4O4,[H]C1([H])N2C([H])([H])N3C([H])([H])N4C([H])([H])N1C2([H])N43,204.19,0.88,167.0,-15.69,4511,12.0,0.15,0.01,"Estimated","Primary explosive"
TATP,C9H18O6,CC1OOC(C)OOC(C)OO1,222.24,1.18,-663.2,-36.04,5300,15.5,0.3,0.01,"Estimated","Primary explosive"
Black Powder,KNO3+C+S,,101.10,1.65,-92.4,3.55,600,0.3,,,,"Historical","Deflagrating mixture"
ANFO,NH4NO3+fuel,,85.00,0.95,-365.6,5.71,4200,5.5,,,,"Mining","Industrial explosive"
Composition B,RDX+TNT,,224.50,1.72,79.8,-47.54,7800,29.5,,,,"Military","Cast explosive"
Semtex,RDX+PETN+binder,,235.00,1.48,65.2,-18.50,7300,26.0,,,,"Commercial","Plastic explosive"
C-4,RDX+binder,,210.00,1.60,92.3,-21.61,8050,28.0,,,,"Military","Plastic explosive"
Amatol,TNT+AN,,180.00,1.55,-48.7,-35.20,5800,15.0,,,,"Historical","Cast explosive"
Nitromethane,CH3NO2,C[N+](=O)[O-],61.04,1.137,-112.0,-39.34,6200,18.5,28.0,140,"Klapotke","Liquid monopropellant"
Ethylene Glycol Dinitrate,C2H4N2O6,C(CO[N+](=O)[O-])O[N+](=O)[O-],152.06,1.485,-335.1,-10.53,7700,25.8,0.5,0.1,"Klapotke","Liquid explosive"
Nitroglycerin,C3H5N3O9,C(CO[N+](=O)[O-])(CO[N+](=O)[O-])O[N+](=O)[O-],227.09,1.592,-370.9,-3.52,7700,25.0,0.2,0.1,"Klapotke","Liquid explosive"
Pentolite,PETN+TNT,,271.00,1.70,-262.9,-41.83,7400,26.0,,,,"Military","Cast explosive"
Octol,HMX+TNT,,261.00,1.85,80.5,-35.85,8500,32.5,,,,"Military","Cast explosive"
Cyclotol,RDX+TNT,,224.50,1.75,79.8,-47.54,8200,31.0,,,,"Military","Cast explosive"
PBXN-109,RDX+binder,,215.00,1.77,92.3,-21.61,8700,32.0,,,,"Military","Plastic bonded explosive"
LX-17,TATB+binder,,250.00,1.91,221.3,-55.80,7900,30.5,,,,"Military","Insensitive explosive"
